plate,uuid
GL19TNJ,http://127.0.0.1:5000/public/images/upload-cam1-1737156102287.jpg
L19NJ,http://127.0.0.1:5000/public/images/upload-cam1-1737156103411.jpg
GL9TJ,http://127.0.0.1:5000/public/images/upload-cam1-1737156104049.jpg
GLO9NJ,http://127.0.0.1:5000/public/images/upload-cam1-1737156104223.jpg
L9TNJ,http://127.0.0.1:5000/public/images/upload-cam1-1737156104240.jpg
GL9TNJ,http://127.0.0.1:5000/public/images/upload-cam1-1737156104412.jpg
173D1,http://127.0.0.1:5000/public/images/upload-cam1-1737156111440.jpg
073D1,http://127.0.0.1:5000/public/images/upload-cam1-1737156111494.jpg
173D4,http://127.0.0.1:5000/public/images/upload-cam1-1737156111590.jpg
17304,http://127.0.0.1:5000/public/images/upload-cam1-1737156111644.jpg
73D41,http://127.0.0.1:5000/public/images/upload-cam1-1737156111802.jpg
73D441,http://127.0.0.1:5000/public/images/upload-cam1-1737156111903.jpg
173D41,http://127.0.0.1:5000/public/images/upload-cam1-1737156112193.jpg
73D44,http://127.0.0.1:5000/public/images/upload-cam1-1737156112286.jpg
173D44,http://127.0.0.1:5000/public/images/upload-cam1-1737156112393.jpg
173D441,http://127.0.0.1:5000/public/images/upload-cam1-1737156112451.jpg
1173D44,http://127.0.0.1:5000/public/images/upload-cam1-1737156112779.jpg
GL09TNJ,http://127.0.0.1:5000/public/images/upload-cam1-1737156165360.jpg
1D1NJ,http://127.0.0.1:5000/public/images/upload-cam1-1737156165958.jpg
73044,http://127.0.0.1:5000/public/images/upload-cam1-1737156176146.jpg
73041,http://127.0.0.1:5000/public/images/upload-cam1-1737156176315.jpg
03D44,http://127.0.0.1:5000/public/images/upload-cam1-1737156177009.jpg
F140P,http://127.0.0.1:5000/public/images/upload-cam1-1737156187476.jpg
F14WP,http://127.0.0.1:5000/public/images/upload-cam1-1737156187824.jpg
MF1WP,http://127.0.0.1:5000/public/images/upload-cam1-1737156187986.jpg
MF1MW,http://127.0.0.1:5000/public/images/upload-cam1-1737156188187.jpg
11MW1,http://127.0.0.1:5000/public/images/upload-cam1-1737156188869.jpg
F14MWP,http://127.0.0.1:5000/public/images/upload-cam1-1737156189067.jpg
MF4WP,http://127.0.0.1:5000/public/images/upload-cam1-1737156189245.jpg
MF1MP,http://127.0.0.1:5000/public/images/upload-cam1-1737156189614.jpg
MFMWP,http://127.0.0.1:5000/public/images/upload-cam1-1737156189792.jpg
MF14MWP,http://127.0.0.1:5000/public/images/upload-cam1-1737156190023.jpg
MF1MWP,http://127.0.0.1:5000/public/images/upload-cam1-1737156190213.jpg
