plate,uuid
GL19TNJ,http://127.0.0.1:5000/public/images/upload-cam1-1737156102287.jpg
GL09TNJ,http://127.0.0.1:5000/public/images/upload-cam1-1737156165360.jpg
MF14MWP,http://127.0.0.1:5000/public/images/upload-cam1-1737156190023.jpg
HD19KLP,http://127.0.0.1:5000/public/images/upload-cam1-1737156203080.jpg
LR64HDU,http://127.0.0.1:5000/public/images/upload-cam1-1737156205302.jpg
AJ13SYV,http://127.0.0.1:5000/public/images/upload-cam1-1737156226271.jpg
LF19AXS,http://127.0.0.1:5000/public/images/upload-cam1-1737156237910.jpg
GD19ZVC,http://127.0.0.1:5000/public/images/upload-cam1-1737156504345.jpg
FD21LYR,http://127.0.0.1:5000/public/images/upload-cam1-1737156522199.jpg
LT07XMP,http://127.0.0.1:5000/public/images/upload-cam1-1737156592165.jpg
LA57LEA,http://127.0.0.1:5000/public/images/upload-cam1-1737156680756.jpg
DV72VUH,http://127.0.0.1:5000/public/images/upload-cam1-1737156721154.jpg
FV23YZZ,http://127.0.0.1:5000/public/images/upload-cam1-1737156864538.jpg
YL19NDV,http://127.0.0.1:5000/public/images/upload-cam1-1737186832489.jpg
LF64WJM,http://127.0.0.1:5000/public/images/upload-cam1-1737188386642.jpg
