	col
0	('GL19TNJ', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123380241.jpg')
1	('L19NJ', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123381428.jpg')
2	('GLDNJ', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123381560.jpg')
3	('GL9NJ', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123381846.jpg')
4	('L9TNJ', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123382252.jpg')
5	('GL9TNJ', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123382301.jpg')
6	('GLO9NJ', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123382405.jpg')
7	('GL19NJ', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123382500.jpg')
8	('73D41', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123390129.jpg')
9	('173D1', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123390228.jpg')
10	('173D44', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123390369.jpg')
11	('73D44', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123390429.jpg')
12	('73D440', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123390652.jpg')
13	('17304', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123390701.jpg')
14	('730441', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123391221.jpg')
15	('073D1', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123391460.jpg')
16	('173D441', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123391530.jpg')
17	('73D441', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123391885.jpg')
18	('GD19ZVC', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123423184.jpg')
19	('545CD', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123427170.jpg')
20	('FD21LYR', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123439758.jpg')
21	('0A570O6', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123448744.jpg')
22	('DA570O', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123448938.jpg')
23	('DA50O', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123449150.jpg')
24	('DA57OGB', 'http://127.0.0.1:5000/public/images/upload-cam1-1737123449548.jpg')
